Name,Artists,Album,Genres
Banana Pancakes,Jack Johnson,In Between Dreams,surf rock
Timeless (feat Playboi Carti),The Weeknd; Playboi Carti,Hurry Up Tomorrow,"pop, indie"
Politics & Violence,Dominic Fike,What Could Possibly Go Wrong,"pop, indie"
Aarzu,Hasan Raheem,Aarzu,"indian indie, hindi indie, desi, desi hip hop, desi pop, hindi hip hop"
Hamari Saanson Mein Aaj Tak,Mehdi Hassan,Mehdi Hassan My Favourites,"ghazal, qawwali, sufi"
Floated By,Peter Cat Recording Co.,Bismillah,indian indie
cold/mess,Prateek Kuhad,cold/mess,"indian indie, hindi indie"
FTA,Whitney,"FTA b/w Far, Far Away","pop, indie"
What You Heard,Sonder,What You Heard,r&b
I'm This,Peter Cat Recording Co.,Bismillah,indian indie
Ab Kya Ghazal Sunaoon,Talat Aziz,Jagjit Singh Presents Talat Aziz,"ghazal, qawwali, sufi"
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator; Brent Faiyaz; Fana Hues",CALL ME IF YOU GET LOST,"pop, indie"
I Will - Remastered 2009,The Beatles,The Beatles (Remastered),"classic rock, psychedelic rock"
"Take Me Home, Country Roads - Original Version",John Denver,"Poems, Prayers and Promises",folk
Thiago Silva,Dave; AJ Tracey,Thiago Silva,"grime, uk drill, drill"
White Ferrari,Frank Ocean,Blonde,"pop, indie"
Mere Sang (feat. Lisa Mishra),Prateek Kuhad; Lisa Mishra,Mere Sang (feat. Lisa Mishra),"indian indie, hindi indie"
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,dream pop
Sprinter,Dave; Central Cee,Sprinter,"grime, uk drill, drill"
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,The Queen Is Dead,"new wave, madchester, jangle pop"
Can I Call You Rose?,Thee Sacred Souls,Thee Sacred Souls,retro soul
Freaking Out the Neighborhood,Mac DeMarco,2,indie
4U,Maanu,4U,"indian indie, desi, hindi indie, desi pop"
Circles,Post Malone,Hollywood's Bleeding,"pop, indie"
Nikamma,Lifafa,Jaago,"indian indie, hindi indie"
The Night We Met,Lord Huron,Strange Trails,"pop, indie"
Let Her Go,Passenger,All the Little Lights (Deluxe),folk pop
Teri Meri Pehli Sham,Punit Singh,Teri Meri Pehli Sham,"hindi indie, indian indie"
Londis,Blanco,ReBourne,"uk drill, drill, grime, afroswing"
"I Love You Baby, I Love You Doll",Parekh & Singh,Ocean,"indian indie, hindi indie"
Nonviolent Communication (Metro Boomin & James Blake; A$AP Rocky; 21 Savage),Metro Boomin; James Blake; A$AP Rocky; 21 Savage,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),"pop, indie"
Lake Missoula,Richy Mitch & The Coal Miners,RMCM,"pop, indie"
Wishes,Hasan Raheem; Umair; Talwiinder,"Maybe, It's Love","indian indie, hindi indie, desi, desi hip hop, desi pop, hindi hip hop"
Mrignaini,Karun,Mrignaini,"desi hip hop, hindi hip hop, hindi indie, indian indie"
Glimpse of Us,Joji,SMITHEREENS,"pop, indie"
airplane thoughts,Dhruv,rapunzel,"pop, indie"
See You Again (feat. Kali Uchis),"Tyler, The Creator; Kali Uchis",Flower Boy,"pop, indie"
My Kind of Woman,Mac DeMarco,2,indie
double take,Dhruv,rapunzel,"pop, indie"
Some,Steve Lacy,Some,"pop, indie"
Nazar,Darzi,Awaaz,"indian indie, hindi indie, desi hip hop"
Gulon Mein Rang Bhare,Arijit Singh,Haider,"hindi pop, bollywood, desi, bangla pop"
Can't Help Falling in Love,Elvis Presley,Blue Hawaii,"rockabilly, rock and roll"
Kehdena,Faizan; Natiq,Kehdena,"desi hip hop, hindi indie, indian indie, hindi hip hop"
Nadaniyan,Abhijay Sharma,Nadaniyan,"punjabi pop, punjabi hip hop, desi pop, desi hip hop, hindi hip hop"
Jaqeen,Talwiinder; Rish,Jaqeen,"punjabi hip hop, indian indie, punjabi pop, desi hip hop, desi, hindi indie, hindi hip hop"
Main Sochi Jaavan,Burrah; Karan Kanchan; Anurag Saikia,Mtv Hustle 03 Represent Episode 3,"desi hip hop, hindi hip hop, hindi indie, indian indie"
